LGAs,Local Government Area,Output Year,Police Region,Police Regions,Selected Year,Year,Year Ending,Year ending,Criminial Incident Rate,Incidents Recorded,"Rate per 100,000 population",레코드 수
참, Moorabool,2013,4 Western,참,거짓,2013,참,June,"4,820.80","1,466","4,820.80",1
참, Mansfield,2013,2 Eastern,참,거짓,2013,참,June,"3,226.20",267,"3,226.20",1
참, Towong,2013,2 Eastern,참,거짓,2013,참,June,"3,120.30",186,"3,120.30",1
참, Wodonga,2013,2 Eastern,참,거짓,2013,참,June,"6,280.80","2,360","6,280.80",1
참, Yarra Ranges,2013,2 Eastern,참,거짓,2013,참,June,"3,331.30","5,027","3,331.30",1
참, Loddon,2014,4 Western,참,거짓,2014,참,June,"3,367.50",253,"3,367.50",1
참, Gannawarra,2014,4 Western,참,거짓,2014,참,June,"4,290.90",452,"4,290.90",1
참, Moreland,2014,1 North West Metro,참,거짓,2014,참,June,"6,063.40","9,950","6,063.40",1
참, Whitehorse,2014,2 Eastern,참,거짓,2014,참,June,"3,529.70","5,800","3,529.70",1
참, Casey,2014,3 Southern Metro,참,거짓,2014,참,June,"4,250.90","12,240","4,250.90",1
참, Swan Hill,2014,4 Western,참,거짓,2014,참,June,"7,201.50","1,508","7,201.50",1
참, Surf Coast,2014,4 Western,참,거짓,2014,참,June,"3,546.40","1,024","3,546.40",1
참, Yarriambiack,2014,4 Western,참,거짓,2014,참,June,"2,773.00",192,"2,773.00",1
참, Moyne,2014,4 Western,참,거짓,2014,참,June,"2,810.10",464,"2,810.10",1
참, Maroondah,2014,2 Eastern,참,거짓,2014,참,June,"5,280.00","5,883","5,280.00",1
참, Whittlesea,2014,1 North West Metro,참,거짓,2014,참,June,"5,516.80","10,366","5,516.80",1
참, Hobsons Bay,2014,1 North West Metro,참,거짓,2014,참,June,"6,113.90","5,528","6,113.90",1
참, Campaspe,2014,4 Western,참,거짓,2014,참,June,"5,702.00","2,129","5,702.00",1
참, Macedon Ranges,2014,4 Western,참,거짓,2014,참,June,"3,188.80","1,450","3,188.80",1
참, Alpine,2014,2 Eastern,참,거짓,2014,참,June,"2,622.40",324,"2,622.40",1
참, Hume,2014,1 North West Metro,참,거짓,2014,참,June,"6,748.80","12,909","6,748.80",1
참, Manningham,2014,2 Eastern,참,거짓,2014,참,June,"2,661.70","3,179","2,661.70",1
거짓,Total,2014,4 Western,참,거짓,2014,참,June,"5,627.40","52,814","5,627.40",1
거짓,Total,2014,1 North West Metro,참,거짓,2014,참,June,"7,164.90","137,312","7,164.90",1
거짓,Total,2014,Justice Institutions and Immigration Facilities,거짓,거짓,2014,참,June,,838,,1
거짓,Total,2014,3 Southern Metro,참,거짓,2014,참,June,"5,486.50","78,395","5,486.50",1
거짓,Total,2014,2 Eastern,참,거짓,2014,참,June,"4,639.30","74,703","4,639.30",1
거짓,Total,2014,Unincorporated Vic,거짓,거짓,2014,참,June,,60,,1
참, Stonnington,2014,3 Southern Metro,참,거짓,2014,참,June,"6,869.10","7,274","6,869.10",1
참, Mornington Peninsula,2014,3 Southern Metro,참,거짓,2014,참,June,"4,985.90","7,803","4,985.90",1
참, Latrobe,2014,2 Eastern,참,거짓,2014,참,June,"10,174.80","7,543","10,174.80",1
참, Kingston,2014,3 Southern Metro,참,거짓,2014,참,June,"4,783.70","7,377","4,783.70",1
참, Wodonga,2014,2 Eastern,참,거짓,2014,참,June,"6,163.80","2,365","6,163.80",1
참, Wyndham,2014,1 North West Metro,참,거짓,2014,참,June,"5,100.90","10,279","5,100.90",1
참, Greater Dandenong,2014,3 Southern Metro,참,거짓,2014,참,June,"7,936.40","12,074","7,936.40",1
참, Wellington,2014,2 Eastern,참,거짓,2014,참,June,"6,535.80","2,807","6,535.80",1
참, Greater Shepparton,2014,2 Eastern,참,거짓,2014,참,June,"8,487.30","5,425","8,487.30",1
참, Moorabool,2014,4 Western,참,거짓,2014,참,June,"4,513.00","1,402","4,513.00",1
참, Golden Plains,2014,4 Western,참,거짓,2014,참,June,"1,866.10",390,"1,866.10",1
참, Benalla,2014,2 Eastern,참,거짓,2014,참,June,"6,116.00",850,"6,116.00",1
참, Brimbank,2014,1 North West Metro,참,거짓,2014,참,June,"7,218.80","14,327","7,218.80",1
참, Corangamite,2014,4 Western,참,거짓,2014,참,June,"2,907.00",475,"2,907.00",1
참, Buloke,2014,4 Western,참,거짓,2014,참,June,"2,541.40",161,"2,541.40",1
참, Bass Coast,2014,2 Eastern,참,거짓,2014,참,June,"6,679.80","2,132","6,679.80",1
참, Banyule,2014,1 North West Metro,참,거짓,2014,참,June,"5,468.90","6,842","5,468.90",1
참, Mount Alexander,2014,4 Western,참,거짓,2014,참,June,"3,416.00",632,"3,416.00",1
참, Nillumbik,2014,1 North West Metro,참,거짓,2014,참,June,"2,550.70","1,618","2,550.70",1
참, Colac-Otway,2014,4 Western,참,거짓,2014,참,June,"5,456.40","1,153","5,456.40",1
참, Melton,2014,1 North West Metro,참,거짓,2014,참,June,"5,713.40","7,388","5,713.40",1
참, Hepburn,2014,4 Western,참,거짓,2014,참,June,"3,299.50",501,"3,299.50",1
참, Yarra Ranges,2014,2 Eastern,참,거짓,2014,참,June,"3,531.00","5,366","3,531.00",1
참, Monash,2014,2 Eastern,참,거짓,2014,참,June,"3,754.50","6,989","3,754.50",1
참, Glen Eira,2014,3 Southern Metro,참,거짓,2014,참,June,"3,163.70","4,546","3,163.70",1
참, Frankston,2014,3 Southern Metro,참,거짓,2014,참,June,"8,019.50","10,921","8,019.50",1
참, Justice Institutions and Immigration Facilities,2014,Justice Institutions and Immigration Facilities,거짓,거짓,2014,참,June,,838,,1
참, Bayside,2014,3 Southern Metro,참,거짓,2014,참,June,"3,376.90","3,370","3,376.90",1
참, Strathbogie,2014,2 Eastern,참,거짓,2014,참,June,"3,683.40",369,"3,683.40",1
참, Southern Grampians,2014,4 Western,참,거짓,2014,참,June,"4,976.90",809,"4,976.90",1
참, Indigo,2014,2 Eastern,참,거짓,2014,참,June,"2,129.40",335,"2,129.40",1
참, Baw Baw,2014,2 Eastern,참,거짓,2014,참,June,"4,738.00","2,210","4,738.00",1
참, Maribyrnong,2014,1 North West Metro,참,거짓,2014,참,June,"8,390.40","6,919","8,390.40",1
참, Mitchell,2014,2 Eastern,참,거짓,2014,참,June,"5,255.30","2,054","5,255.30",1
참, Mansfield,2014,2 Eastern,참,거짓,2014,참,June,"4,014.30",337,"4,014.30",1
참, Glenelg,2014,4 Western,참,거짓,2014,참,June,"6,499.60","1,284","6,499.60",1
참, West Wimmera,2014,4 Western,참,거짓,2014,참,June,"2,426.90",98,"2,426.90",1
참, Greater Bendigo,2014,4 Western,참,거짓,2014,참,June,"5,732.90","6,189","5,732.90",1
참, Ararat,2014,4 Western,참,거짓,2014,참,June,"6,617.60",765,"6,617.60",1
참, Unincorporated Vic,2014,Unincorporated Vic,거짓,거짓,2014,참,June,,60,,1
참, Boroondara,2014,2 Eastern,참,거짓,2014,참,June,"3,549.80","6,129","3,549.80",1
참, Moonee Valley,2014,1 North West Metro,참,거짓,2014,참,June,"5,355.70","6,307","5,355.70",1
참, Port Phillip,2014,3 Southern Metro,참,거짓,2014,참,June,"8,336.00","8,707","8,336.00",1
참, Melbourne,2014,1 North West Metro,참,거짓,2014,참,June,"18,770.90","24,022","18,770.90",1
참, Central Goldfields,2014,4 Western,참,거짓,2014,참,June,"5,867.70",756,"5,867.70",1
참, Mildura,2014,4 Western,참,거짓,2014,참,June,"8,608.60","4,626","8,608.60",1
참, East Gippsland,2014,2 Eastern,참,거짓,2014,참,June,"6,545.20","2,898","6,545.20",1
참, Murrindindi,2014,2 Eastern,참,거짓,2014,참,June,"3,799.20",520,"3,799.20",1
참, Warrnambool,2014,4 Western,참,거짓,2014,참,June,"5,511.60","1,859","5,511.60",1
참, Wangaratta,2014,2 Eastern,참,거짓,2014,참,June,"6,047.70","1,685","6,047.70",1
참, Greater Geelong,2014,4 Western,참,거짓,2014,참,June,"6,135.80","13,974","6,135.80",1
참, Cardinia,2014,3 Southern Metro,참,거짓,2014,참,June,"4,636.10","4,083","4,636.10",1
참, Towong,2014,2 Eastern,참,거짓,2014,참,June,"3,326.60",199,"3,326.60",1
참, Darebin,2014,1 North West Metro,참,거짓,2014,참,June,"7,329.20","10,958","7,329.20",1
참, Pyrenees,2014,4 Western,참,거짓,2014,참,June,"5,037.60",355,"5,037.60",1
참, Hindmarsh,2014,4 Western,참,거짓,2014,참,June,"2,549.60",149,"2,549.60",1
참, Horsham,2014,4 Western,참,거짓,2014,참,June,"7,276.70","1,437","7,276.70",1
참, Queenscliffe,2014,4 Western,참,거짓,2014,참,June,"2,862.00",85,"2,862.00",1
참, Yarra,2014,1 North West Metro,참,거짓,2014,참,June,"11,348.40","9,899","11,348.40",1
참, Moira,2014,2 Eastern,참,거짓,2014,참,June,"3,869.40","1,126","3,869.40",1
참, Northern Grampians,2014,4 Western,참,거짓,2014,참,June,"5,502.30",648,"5,502.30",1
참, Ballarat,2014,4 Western,참,거짓,2014,참,June,"7,600.50","7,594","7,600.50",1
참, Knox,2014,2 Eastern,참,거짓,2014,참,June,"4,643.90","7,311","4,643.90",1
참, South Gippsland,2014,2 Eastern,참,거짓,2014,참,June,"3,039.90",867,"3,039.90",1
참, Stonnington,2015,3 Southern Metro,참,거짓,2015,참,June,"6,860.30","7,411","6,860.30",1
참, Glenelg,2015,4 Western,참,거짓,2015,참,June,"6,911.10","1,363","6,911.10",1
참, Corangamite,2015,4 Western,참,거짓,2015,참,June,"2,851.20",464,"2,851.20",1
참, Brimbank,2015,1 North West Metro,참,거짓,2015,참,June,"7,082.00","14,225","7,082.00",1
참, Mornington Peninsula,2015,3 Southern Metro,참,거짓,2015,참,June,"4,756.00","7,554","4,756.00",1
참, Bass Coast,2015,2 Eastern,참,거짓,2015,참,June,"5,804.90","1,891","5,804.90",1
참, Banyule,2015,1 North West Metro,참,거짓,2015,참,June,"5,384.30","6,789","5,384.30",1
참, Mitchell,2015,2 Eastern,참,거짓,2015,참,June,"5,866.30","2,362","5,866.30",1
참, Ballarat,2015,4 Western,참,거짓,2015,참,June,"8,268.70","8,391","8,268.70",1
참, Ararat,2015,4 Western,참,거짓,2015,참,June,"7,591.90",884,"7,591.90",1
참, Wodonga,2015,2 Eastern,참,거짓,2015,참,June,"6,335.60","2,485","6,335.60",1
참, Towong,2015,2 Eastern,참,거짓,2015,참,June,"2,298.10",138,"2,298.10",1
참, Glen Eira,2015,3 Southern Metro,참,거짓,2015,참,June,"3,153.00","4,601","3,153.00",1
참, Casey,2015,3 Southern Metro,참,거짓,2015,참,June,"4,775.20","14,303","4,775.20",1
거짓,Total,2015,3 Southern Metro,참,거짓,2015,참,June,"5,575.10","81,527","5,575.10",1
거짓,Total,2015,Unincorporated Vic,거짓,거짓,2015,참,June,,110,,1
